Year,Month,Station,Surface,Borehole
2017,  Apr,District water supply - (DWS North),2.5  ,0.6  
2017,  May,District water supply - (DWS North),2.7  ,0.7  
2017,  Jun,District water supply - (DWS North),2.5  ,0.7  
2017,  Jul,District water supply - (DWS North),2.6  ,0.7  
2017,  Aug,District water supply - (DWS North),2.5  ,0.7  
2017,  Sep,District water supply - (DWS North),2.4  ,0.7  
2017,  Oct,District water supply - (DWS North),2.6  ,0.7  
2017,  Nov,District water supply - (DWS North),2.7  ,0.6  
2017,  Dec,District water supply - (DWS North),3.0  ,0.6  
2018,  Jan,District water supply - (DWS North),2.7  ,2.3  
2018,  Feb,District water supply - (DWS North),2.3  ,2.1  
2018,  Mar,District water supply - (DWS North),2.4  ,2.3  
2018,  Apr,District water supply - (DWS North),2.4  ,2.2  
2018,  May,District water supply - (DWS North),2.7  ,2.3  
2018,  Jun,District water supply - (DWS North),2.5  ,2.3  
2018,  Jul,District water supply - (DWS North),2.7  ,2.3  
2018,  Aug,District water supply - (DWS North),2.7  ,2.2  
2018,  Sep,District water supply - (DWS North),2.6  ,2.1  
2018,  Oct,District water supply - (DWS North),2.9  ,2.2  
2018,  Nov,District water supply - (DWS North),1.8  ,2.3  
2018,  Dec,District water supply - (DWS North),2.6  ,2.2  
2019,  Jan,District water supply - (DWS North),2.6  ,2.4  
2019,  Feb,District water supply - (DWS North),2.3  ,2.1  
2019,  Mar,District water supply - (DWS North),2.6  ,2.2  
2019,  Apr,District water supply - (DWS North),2.6  ,2.2  
2019,  May,District water supply - (DWS North),2.8  ,2.2  
2019,  Jun,District water supply - (DWS North),2.6  ,2.2  
2019,  Jul,District water supply - (DWS North),2.7  ,2.4  
2019,  Aug,District water supply - (DWS North),2.9  ,2.2  
2019,  Sep,District water supply - (DWS North),2.7  ,2.2  
2019,  Oct,District water supply - (DWS North),2.8  ,2.3  
2019,  Nov,District water supply - (DWS North),3.0  ,2.1  
2019,  Dec,District water supply - (DWS North),3.1  ,2.2  
2020,  Jan,District water supply - (DWS North),3.1  ,2.3  
2020,  Feb,District water supply - (DWS North),2.9  ,2.1  
2020,  Mar,District water supply - (DWS North),2.5  ,2.3  
2020,  Apr,District water supply - (DWS North),2.1  ,2.2  
2020,  May,District water supply - (DWS North),2.2  ,2.2  
2020,  Jun,District water supply - (DWS North),2.9  ,2.3  
2020,  Jul,District water supply - (DWS North),2.8  ,2.3  
2020,  Aug,District water supply - (DWS North),2.8  ,2.6  
2020,  Sep,District water supply - (DWS North),2.7  ,2.5  
2020,  Oct,District water supply - (DWS North),2.8  ,2.4  
2020,  Nov,District water supply - (DWS North),2.9  ,1.9  
2020,  Dec,District water supply - (DWS North),2.9  ,2.3  
2021,  Jan,District water supply - (DWS North),2.8  ,2.7  
2021,  Feb,District water supply - (DWS North),2.2  ,2.4  
2021,  Mar,District water supply - (DWS North),2.4  ,2.6  
2021,  Apr,District water supply - (DWS North),2.4  ,2.5  
2021,  May,District water supply - (DWS North),2.4  ,2.6  
2021,  Jun,District water supply - (DWS North),2.8  ,2.5  
2021,  Jul,District water supply - (DWS North),3.2  ,2.8  
2021,  Aug,District water supply - (DWS North),2.9  ,2.6  
2021,  Sep,District water supply - (DWS North),3.2  ,2.8  
2021,  Oct,District water supply - (DWS North),3.1  ,2.6  
2021,  Nov,District water supply - (DWS North),3.1  ,2.5  
2021,  Dec,District water supply - (DWS North),3.3  ,2.6  
2022,  Jan,District water supply - (DWS North),3.3  ,2.6  
2022,  Feb,District water supply - (DWS North),2.9  ,2.3  
2022,  Mar,District water supply - (DWS North),3.4  ,2.6  
2022,  Apr,District water supply - (DWS North),3.0  ,2.5  
2022,  May,District water supply - (DWS North),3.4  ,2.8  
2022,  Jun,District water supply - (DWS North),3.2  ,2.5  
2022,  Jul,District water supply - (DWS North),3.3  ,2.6  
2022,  Aug,District water supply - (DWS North),3.1  ,2.6  
2022,  Sep,District water supply - (DWS North),3.1  ,2.5  
2022,  Oct,District water supply - (DWS North),3.5  ,2.3  
2022,  Nov,District water supply - (DWS North),3.3  ,2.1  
2022,  Dec,District water supply - (DWS North),3.3  ,2.3  
2015,  Jan,District water supply - (DWS South), 0.9 , 2.2 
2015,  Feb,District water supply - (DWS South), 0.8 , 2.0 
2015,  Mar,District water supply - (DWS South), 0.9 , 2.3 
2015,  Apr,District water supply - (DWS South), 0.9 , 2.1 
2015,  May,District water supply - (DWS South), 0.9 , 2.2 
2015,  Jun,District water supply - (DWS South), 0.9 , 2.1 
2015,  Jul,District water supply - (DWS South), 0.9 , 2.2 
2015,  Aug,District water supply - (DWS South), 0.9 , 2.1 
2015,  Sep,District water supply - (DWS South), 0.9 , 2.0 
2015,  Oct,District water supply - (DWS South), 1.0 , 2.1 
2015,  Nov,District water supply - (DWS South), 0.9 , 2.1 
2015,  Dec,District water supply - (DWS South), 1.0 , 2.0 
2016,  Jan,District water supply - (DWS South), 1.0 , 2.1 
2016,  Feb,District water supply - (DWS South), 0.9 , 1.9 
2016,  Mar,District water supply - (DWS South), 0.9 , 2.1 
2016,  Apr,District water supply - (DWS South), 0.8 , 2.1 
2016,  May,District water supply - (DWS South), 0.9 , 2.1 
2016,  Jun,District water supply - (DWS South), 0.9 , 2.0 
2016,  Jul,District water supply - (DWS South), 0.9 , 2.1 
2016,  Aug,District water supply - (DWS South), 0.9 , 2.1 
2016,  Sep,District water supply - (DWS South), 0.9 , 2.0 
2016,  Oct,District water supply - (DWS South), 0.9 , 2.2 
2016,  Nov,District water supply - (DWS South), 0.9 , 2.0 
2016,  Dec,District water supply - (DWS South), 0.8 , 2.0 
2017,  Jan,District water supply - (DWS South),1.0  ,2.1  
2017,  Feb,District water supply - (DWS South),0.9  ,2.0  
2017,  Mar,District water supply - (DWS South),0.9  ,2.3  
2017,  Apr,District water supply - (DWS South),1.0  ,2.3  
2017,  May,District water supply - (DWS South),1.0  ,2.4  
2017,  Jun,District water supply - (DWS South),1.0  ,2.2  
2017,  Jul,District water supply - (DWS South),0.9  ,2.3  
2017,  Aug,District water supply - (DWS South),1.0  ,2.4  
2017,  Sep,District water supply - (DWS South),0.9  ,2.1  
2017,  Oct,District water supply - (DWS South),0.9  ,2.3  
2017,  Nov,District water supply - (DWS South),0.9  ,2.3  
2017,  Dec,District water supply - (DWS South),1.0  ,2.1  
2018,  Jan,District water supply - (DWS South),1.0  ,2.5  
2018,  Feb,District water supply - (DWS South),0.8  ,2.3  
2018,  Mar,District water supply - (DWS South),1.0  ,2.4  
2018,  Apr,District water supply - (DWS South),1.0  ,2.4  
2018,  May,District water supply - (DWS South),1.0  ,2.5  
2018,  Jun,District water supply - (DWS South),1.0  ,2.3  
2018,  Jul,District water supply - (DWS South),1.0  ,2.5  
2018,  Aug,District water supply - (DWS South),1.0  ,2.3  
2018,  Sep,District water supply - (DWS South),1.0  ,2.3  
2018,  Oct,District water supply - (DWS South),1.0  ,2.1  
2018,  Nov,District water supply - (DWS South),0.9  ,1.9  
2018,  Dec,District water supply - (DWS South),1.0  ,2.3  
2019,  Jan,District water supply - (DWS South),1.0  ,2.4  
2019,  Feb,District water supply - (DWS South),0.9  ,2.2  
2019,  Mar,District water supply - (DWS South),1.0  ,2.4  
2019,  Apr,District water supply - (DWS South),1.1  ,2.1  
2019,  May,District water supply - (DWS South),0.9  ,2.5  
2019,  Jun,District water supply - (DWS South),0.9  ,2.4  
2019,  Jul,District water supply - (DWS South),0.8  ,2.5  
2019,  Aug,District water supply - (DWS South),1.0  ,2.6  
2019,  Sep,District water supply - (DWS South),0.9  ,2.4  
2019,  Oct,District water supply - (DWS South),1.1  ,2.5  
2019,  Nov,District water supply - (DWS South),1.0  ,2.2  
2019,  Dec,District water supply - (DWS South),1.0  ,2.4  
2020,  Jan,District water supply - (DWS South),1.2  ,2.6  
2020,  Feb,District water supply - (DWS South),1.0  ,2.4  
2020,  Mar,District water supply - (DWS South),1.1  ,2.5  
2020,  Apr,District water supply - (DWS South),1.1  ,2.5  
2020,  May,District water supply - (DWS South),1.1  ,2.7  
2020,  Jun,District water supply - (DWS South),0.9  ,2.5  
2020,  Jul,District water supply - (DWS South),1.0  ,2.5  
2020,  Aug,District water supply - (DWS South),1.3  ,2.5  
2020,  Sep,District water supply - (DWS South),1.2  ,2.4  
2020,  Oct,District water supply - (DWS South),1.2  ,2.1  
2020,  Nov,District water supply - (DWS South),1.0  ,1.9  
2020,  Dec,District water supply - (DWS South),1.0  ,2.3  
2021,  Jan,District water supply - (DWS South),1.1  ,2.4  
2021,  Feb,District water supply - (DWS South),1.0  ,2.1  
2021,  Mar,District water supply - (DWS South),1.2  ,2.3  
2021,  Apr,District water supply - (DWS South),1.0  ,2.2  
2021,  May,District water supply - (DWS South),1.1  ,2.4  
2021,  Jun,District water supply - (DWS South),1.0  ,2.3  
2021,  Jul,District water supply - (DWS South),1.0  ,2.5  
2021,  Aug,District water supply - (DWS South),1.1  ,2.4  
2021,  Sep,District water supply - (DWS South),1.0  ,2.5  
2021,  Oct,District water supply - (DWS South),1.1  ,2.5  
2021,  Nov,District water supply - (DWS South),1.0  ,2.4  
2021,  Dec,District water supply - (DWS South),1.0  ,1.9  
2022,  Jan,District water supply - (DWS South),0.9  ,2.3  
2022,  Feb,District water supply - (DWS South),1.0  ,2.1  
2022,  Mar,District water supply - (DWS South),1.1  ,2.4  
2022,  Apr,District water supply - (DWS South),1.1  ,2.2  
2022,  May,District water supply - (DWS South),1.0  ,2.5  
2022,  Jun,District water supply - (DWS South),1.1  ,2.2  
2022,  Jul,District water supply - (DWS South),1.1  ,2.2  
2022,  Aug,District water supply - (DWS South),1.2  ,2.2  
2022,  Sep,District water supply - (DWS South),1.1  ,2.1  
2022,  Oct,District water supply - (DWS South),1.1  ,2.1  
2022,  Nov,District water supply - (DWS South),1.0  ,1.8  
2022,  Dec,District water supply - (DWS South),0.8  ,1.8  
2015,  Jan,District water supply (DWS East), 1.1 , 1.9 
2015,  Feb,District water supply (DWS East), 1.0 , 1.7 
2015,  Mar,District water supply (DWS East), 1.2 , 1.9 
2015,  Apr,District water supply (DWS East), 1.3 , 1.9 
2015,  May,District water supply (DWS East), 1.2 , 1.9 
2015,  Jun,District water supply (DWS East), 1.1 , 1.9 
2015,  Jul,District water supply (DWS East), 1.2 , 2.0 
2015,  Aug,District water supply (DWS East), 1.3 , 2.0 
2015,  Sep,District water supply (DWS East), 1.2 , 1.9 
2015,  Oct,District water supply (DWS East), 1.3 , 2.1 
2015,  Nov,District water supply (DWS East), 1.2 , 2.1 
2015,  Dec,District water supply (DWS East), 1.2 , 2.1 
2016,  Jan,District water supply (DWS East), 1.2 , 2.1 
2016,  Feb,District water supply (DWS East), 1.0 , 1.9 
2016,  Mar,District water supply (DWS East), 1.1 , 2.2 
2016,  Apr,District water supply (DWS East), 1.1 , 2.2 
2016,  May,District water supply (DWS East), 1.1 , 2.2 
2016,  Jun,District water supply (DWS East), 1.0 , 2.3 
2016,  Jul,District water supply (DWS East), 1.0 , 2.4 
2016,  Aug,District water supply (DWS East), 1.1 , 2.3 
2016,  Sep,District water supply (DWS East), 1.2 , 2.2 
2016,  Oct,District water supply (DWS East), 1.2 , 2.4 
2016,  Nov,District water supply (DWS East), 1.2 , 2.1 
2016,  Dec,District water supply (DWS East), 1.1 , 1.8 
2017,  Jan,District water supply (DWS East),1.2  ,2.4  
2017,  Feb,District water supply (DWS East),1.3  ,2.1  
2017,  Mar,District water supply (DWS East),1.5  ,2.2  
2017,  Apr,District water supply (DWS East),1.3  ,2.3  
2017,  May,District water supply (DWS East),1.3  ,2.3  
2017,  Jun,District water supply (DWS East),1.5  ,2.2  
2017,  Jul,District water supply (DWS East),1.3  ,2.3  
2017,  Aug,District water supply (DWS East),1.1  ,2.4  
2017,  Sep,District water supply (DWS East),1.2  ,2.2  
2017,  Oct,District water supply (DWS East),1.2  ,2.3  
2017,  Nov,District water supply (DWS East),1.4  ,2.2  
2017,  Dec,District water supply (DWS East),1.4  ,2.2  
2018,  Jan,District water supply (DWS East),1.2  ,2.3  
2018,  Feb,District water supply (DWS East),1.1  ,2.1  
2018,  Mar,District water supply (DWS East),1.2  ,2.4  
2018,  Apr,District water supply (DWS East),1.1  ,2.3  
2018,  May,District water supply (DWS East),1.5  ,2.3  
2018,  Jun,District water supply (DWS East),1.4  ,2.3  
2018,  Jul,District water supply (DWS East),1.5  ,2.4  
2018,  Aug,District water supply (DWS East),1.6  ,2.3  
2018,  Sep,District water supply (DWS East),1.4  ,2.2  
2018,  Oct,District water supply (DWS East),1.5  ,2.2  
2018,  Nov,District water supply (DWS East),1.2  ,1.9  
2018,  Dec,District water supply (DWS East),1.3  ,2.1  
2019,  Jan,District water supply (DWS East),1.3  ,2.4  
2019,  Feb,District water supply (DWS East),1.0  ,2.2  
2019,  Mar,District water supply (DWS East),1.4  ,2.4  
2019,  Apr,District water supply (DWS East),1.0  ,2.2  
2019,  May,District water supply (DWS East),1.3  ,2.4  
2019,  Jun,District water supply (DWS East),1.2  ,2.4  
2019,  Jul,District water supply (DWS East),1.4  ,2.4  
2019,  Aug,District water supply (DWS East),1.2  ,2.5  
2019,  Sep,District water supply (DWS East),1.3  ,2.3  
2019,  Oct,District water supply (DWS East),1.3  ,2.5  
2019,  Nov,District water supply (DWS East),1.5  ,2.3  
2019,  Dec,District water supply (DWS East),1.5  ,2.3  
2020,  Jan,District water supply (DWS East),1.4  ,2.5  
2020,  Feb,District water supply (DWS East),1.4  ,2.2  
2020,  Mar,District water supply (DWS East),1.4  ,2.4  
2020,  Apr,District water supply (DWS East),1.4  ,2.3  
2020,  May,District water supply (DWS East),1.6  ,2.4  
2020,  Jun,District water supply (DWS East),1.4  ,2.4  
2020,  Jul,District water supply (DWS East),1.3  ,2.5  
2020,  Aug,District water supply (DWS East),1.4  ,2.7  
2020,  Sep,District water supply (DWS East),1.3  ,2.6  
2020,  Oct,District water supply (DWS East),1.4  ,2.3  
2020,  Nov,District water supply (DWS East),1.4  ,2.0  
2020,  Dec,District water supply (DWS East),1.3  ,2.2  
2021,  Jan,District water supply (DWS East),1.3  ,2.5  
2021,  Feb,District water supply (DWS East),1.3  ,2.3  
2021,  Mar,District water supply (DWS East),1.4  ,2.6  
2021,  Apr,District water supply (DWS East),1.5  ,2.6  
2021,  May,District water supply (DWS East),1.5  ,2.7  
2021,  Jun,District water supply (DWS East),1.6  ,2.5  
2021,  Jul,District water supply (DWS East),1.8  ,2.7  
2021,  Aug,District water supply (DWS East),1.6  ,2.6  
2021,  Sep,District water supply (DWS East),1.7  ,2.6  
2021,  Oct,District water supply (DWS East),1.6  ,2.6  
2021,  Nov,District water supply (DWS East),1.6  ,2.5  
2021,  Dec,District water supply (DWS East),1.5  ,2.4  
2022,  Jan,District water supply (DWS East),1.0  ,2.7  
2022,  Feb,District water supply (DWS East),1.4  ,2.4  
2022,  Mar,District water supply (DWS East),1.5  ,2.5  
2022,  Apr,District water supply (DWS East),1.4  ,2.6  
2022,  May,District water supply (DWS East),2.0  ,2.7  
2022,  Jun,District water supply (DWS East),1.3  ,2.6  
2022,  Jul,District water supply (DWS East),1.5  ,2.7  
2022,  Aug,District water supply (DWS East),1.7  ,2.6  
2022,  Sep,District water supply (DWS East),1.6  ,2.5  
2022,  Oct,District water supply (DWS East),1.6  ,2.5  
2022,  Nov,District water supply (DWS East),1.5  ,2.2  
2022,  Dec,District water supply (DWS East),1.5  ,1.9  
